predictor,false_positive_rate,true_positive_rate,threshold
WER,0.043478260869565216,0.32169576059850374,0.542857143
WER,0.043478260869565216,0.3316708229426434,0.54
WER,0.07246376811594203,0.3316708229426434,0.535714286
WER,0.07246376811594203,0.3341645885286783,0.533333333
WER,0.07246376811594203,0.34413965087281795,0.527777778
WER,0.07246376811594203,0.3491271820448878,0.525
WER,0.08695652173913043,0.3566084788029925,0.523809524
WER,0.08695652173913043,0.36658354114713215,0.52173913
WER,0.11594202898550725,0.3765586034912718,0.52
WER,0.11594202898550725,0.3790523690773067,0.518518519
WER,0.11594202898550725,0.3865336658354115,0.517241379
WER,0.11594202898550725,0.38902743142144636,0.516129032
WER,0.11594202898550725,0.3940149625935162,0.515151515
WER,0.11594202898550725,0.39900249376558605,0.510204082
WER,0.13043478260869565,0.46633416458852867,0.5
WER,0.13043478260869565,0.4763092269326683,0.483870968
WER,0.13043478260869565,0.48129675810473815,0.482758621
WER,0.13043478260869565,0.4837905236907731,0.481481481
WER,0.14492753623188406,0.4912718204488778,0.48
WER,0.14492753623188406,0.49875311720698257,0.47826087
WER,0.14492753623188406,0.5012468827930174,0.477272727
WER,0.14492753623188406,0.513715710723192,0.476190476
WER,0.14492753623188406,0.516209476309227,0.473684211
WER,0.17391304347826086,0.5211970074812967,0.466666667
WER,0.17391304347826086,0.5236907730673317,0.464285714
WER,0.2028985507246377,0.5286783042394015,0.461538462
WER,0.2028985507246377,0.5361596009975063,0.458333333
WER,0.2028985507246377,0.5536159600997507,0.454545455
WER,0.2028985507246377,0.5610972568578554,0.448275862
WER,0.2028985507246377,0.571072319201995,0.444444444
WER,0.2028985507246377,0.5760598503740648,0.441176471
WER,0.2028985507246377,0.5985037406483791,0.434782609
WER,0.2028985507246377,0.6034912718204489,0.432432432
WER,0.21739130434782608,0.6234413965087282,0.428571429
WER,0.21739130434782608,0.6259351620947631,0.424242424
WER,0.2318840579710145,0.6309226932668329,0.423076923
WER,0.2318840579710145,0.6334164588528678,0.419354839
WER,0.2463768115942029,0.6408977556109726,0.416666667
WER,0.2463768115942029,0.6458852867830424,0.413793103
WER,0.2608695652173913,0.6583541147132169,0.411764706
WER,0.2608695652173913,0.6783042394014963,0.409090909
WER,0.2608695652173913,0.6932668329177057,0.4
WER,0.2608695652173913,0.6957605985037406,0.395348837
WER,0.2608695652173913,0.7007481296758105,0.393939394
WER,0.2753623188405797,0.7057356608478803,0.392857143
WER,0.2753623188405797,0.7182044887780549,0.391304348
WER,0.2898550724637681,0.7306733167082294,0.388888889
WER,0.2898550724637681,0.7331670822942643,0.387096774
WER,0.2898550724637681,0.7406483790523691,0.384615385
WER,0.3188405797101449,0.7406483790523691,0.380952381
WER,0.3188405797101449,0.7456359102244389,0.379310345
WER,0.3188405797101449,0.7630922693266833,0.375
WER,0.3188405797101449,0.7680798004987531,0.37037037
