predictor,false_positive_rate,true_positive_rate,threshold
WER,0.5101351351351351,0.8563218390804598,0.0588235294117647
WER,0.5101351351351351,0.867816091954023,0.0571428571428571
WER,0.5236486486486487,0.867816091954023,0.0555555555555555
WER,0.527027027027027,0.8850574712643678,0.0526315789473684
WER,0.5304054054054054,0.8850574712643678,0.0508474576271186
WER,0.5371621621621622,0.9080459770114943,0.05
WER,0.5540540540540541,0.9080459770114943,0.0476190476190476
WER,0.5574324324324325,0.9080459770114943,0.0465116279069767
WER,0.5709459459459459,0.9367816091954023,0.0454545454545454
WER,0.5844594594594594,0.9425287356321839,0.0434782608695652
WER,0.6047297297297297,0.9482758620689655,0.0416666666666666
WER,0.6114864864864865,0.9597701149425287,0.04
WER,0.6114864864864865,0.9712643678160919,0.0384615384615384
WER,0.6148648648648649,0.9712643678160919,0.0357142857142857
WER,0.6148648648648649,0.9770114942528736,0.0344827586206896
WER,0.6283783783783784,0.9770114942528736,0.03125
WER,0.6385135135135135,0.9885057471264368,0.0285714285714285
WER,0.6452702702702703,0.9885057471264368,0.0277777777777777
WER,0.6486486486486487,0.9942528735632183,0.0263157894736842
WER,1.0,1.0,0.0
Answer-span loss,0.0,0.0,inf
Answer-span loss,0.02364864864864865,0.9080459770114943,1.0
Answer-span loss,1.0,1.0,0.0
